# 4, 6934
# t[s]       nu_e            nu_e_bar        nu_x            u_x_bar          
-0.640       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.638       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.636       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.634       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.632       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.630       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.628       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.626       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.624       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.622       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.620       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.618       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.616       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.614       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.612       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.610       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.608       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.606       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.604       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.602       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.600       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.598       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.596       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.594       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.592       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.590       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.588       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.586       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.584       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.583       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.581       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.579       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.577       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.575       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.573       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.571       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.569       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.567       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.564       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.562       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.560       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.558       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.556       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.554       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.552       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.550       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.548       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.546       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.544       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.542       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.540       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.538       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.536       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.534       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.532       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.530       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.528       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.526       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.524       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.522       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.520       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.518       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.516       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.514       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.512       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.510       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.508       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.506       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.504       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.502       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.500       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.498       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.496       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.494       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.492       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.490       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.488       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.486       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.484       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.482       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.480       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.478       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.476       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.474       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.472       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.470       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.468       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.466       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.464       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
