# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
4.05             8.3684250E-49    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.15             8.6678250E-49    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.25             8.9706250E-49    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.34             9.2768250E-49    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.45             9.5864250E-49    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.55             9.8994250E-49    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.65             1.0215825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.75             1.0535625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.85             1.0858825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
4.95             1.1185425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.05             1.1515425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.15             1.1848825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.25             1.2185625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.35             1.2525825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    2.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.45             1.2869425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.55             1.3216425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.65             1.3566825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.75             1.3920625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.85             1.4277825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
5.95             1.4638425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.05             1.5002425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.15             1.5369825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.25             1.5740625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
6.35             1.6114825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
