# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [m^2 MeV]
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
1.85             1.3030336E-47    5.7402843E-48    2.4389900E-48    2.1544898E-48    7.0589500E-48    1.5256480E-48    1.2621436E-48    1.0462020E-48    
1.95             1.3841606E-47    6.0811404E-48    2.5749454E-48    2.2720869E-48    8.1482309E-48    1.7811670E-48    1.4443718E-48    1.1958920E-48    
2.04             1.4654355E-47    6.4225181E-48    2.7108364E-48    2.3895823E-48    9.3179116E-48    2.0574701E-48    1.6388114E-48    1.3554668E-48    
2.15             1.5468405E-47    6.7643588E-48    2.8466699E-48    2.5069874E-48    1.0568130E-47    2.3546287E-48    1.8454580E-48    1.5249195E-48    
2.25             1.6283602E-47    7.1066123E-48    2.9824516E-48    2.6243122E-48    1.1899003E-47    2.6727028E-48    2.0643082E-48    1.7042444E-48    
2.35             1.7099818E-47    7.4492355E-48    3.1181867E-48    2.7415649E-48    1.3310628E-47    3.0117440E-48    2.2953588E-48    1.8934365E-48    
2.45             1.7916942E-47    7.7921909E-48    3.2538797E-48    2.8587531E-48    1.4803091E-47    3.3717964E-48    2.5386070E-48    2.0924915E-48    
2.54             1.8734878E-47    8.1354460E-48    3.3895346E-48    2.9758832E-48    1.6376465E-47    3.7528983E-48    2.7940506E-48    2.3014057E-48    
2.65             1.9553545E-47    8.4789725E-48    3.5251548E-48    3.0929606E-48    1.8030812E-47    4.1550826E-48    3.0616875E-48    2.5201759E-48    
2.75             2.0372871E-47    8.8227454E-48    3.6607434E-48    3.2099904E-48    1.9766189E-47    4.5783784E-48    3.3415158E-48    2.7487992E-48    
2.85             2.1192794E-47    9.1667426E-48    3.7963032E-48    3.3269768E-48    2.1582642E-47    5.0228109E-48    3.6335339E-48    2.9872731E-48    
2.95             2.2013258E-47    9.5109447E-48    3.9318365E-48    3.4439236E-48    2.3480215E-47    5.4884025E-48    3.9377404E-48    3.2355954E-48    
3.05             2.2834215E-47    9.8553346E-48    4.0673455E-48    3.5608342E-48    2.5458943E-47    5.9751729E-48    4.2541340E-48    3.4937641E-48    
3.15             2.3655623E-47    1.0199897E-47    4.2028323E-48    3.6777116E-48    2.7518861E-47    6.4831396E-48    4.5827136E-48    3.7617775E-48    
3.25             2.4477444E-47    1.0544617E-47    4.3382984E-48    3.7945586E-48    2.9659998E-47    7.0123182E-48    4.9234782E-48    4.0396341E-48    
3.35             2.5299643E-47    1.0889484E-47    4.4737455E-48    3.9113774E-48    3.1882379E-47    7.5627225E-48    5.2764267E-48    4.3273325E-48    
3.45             2.6122191E-47    1.1234486E-47    4.6091751E-48    4.0281704E-48    3.4186028E-47    8.1343651E-48    5.6415585E-48    4.6248713E-48    
3.55             2.6945060E-47    1.1579613E-47    4.7445883E-48    4.1449393E-48    3.6570965E-47    8.7272572E-48    6.0188728E-48    4.9322495E-48    
3.65             2.7768226E-47    1.1924856E-47    4.8799864E-48    4.2616860E-48    3.9037211E-47    9.3414089E-48    6.4083688E-48    5.2494661E-48    
3.75             2.8591668E-47    1.2270207E-47    5.0153703E-48    4.3784121E-48    4.1584781E-47    9.9768293E-48    6.8100461E-48    5.5765202E-48    
3.85             2.9415365E-47    1.2615659E-47    5.1507411E-48    4.4951190E-48    4.4213691E-47    1.0633527E-47    7.2239039E-48    5.9134108E-48    
3.95             3.0239300E-47    1.2961204E-47    5.2860996E-48    4.6118079E-48    4.6923955E-47    1.1311509E-47    7.6499419E-48    6.2601373E-48    
4.05             3.1063455E-47    1.3306837E-47    5.4214467E-48    4.7284802E-48    4.9715586E-47    1.2010782E-47    8.0881595E-48    6.6166990E-48    
4.15             3.1887817E-47    1.3652551E-47    5.5567829E-48    4.8451369E-48    5.2588595E-47    1.2731353E-47    8.5385563E-48    6.9830952E-48    
4.25             3.2712371E-47    1.3998343E-47    5.6921092E-48    4.9617790E-48    5.5542992E-47    1.3473227E-47    9.0011319E-48    7.3593253E-48    
4.34             3.3537106E-47    1.4344206E-47    5.8274259E-48    5.0784074E-48    5.8578788E-47    1.4236410E-47    9.4758861E-48    7.7453889E-48    
4.45             3.4362010E-47    1.4690137E-47    5.9627338E-48    5.1950230E-48    6.1695991E-47    1.5020906E-47    9.9628184E-48    8.1412854E-48    
4.55             3.5187072E-47    1.5036131E-47    6.0980333E-48    5.3116265E-48    6.4894608E-47    1.5826720E-47    1.0461928E-47    8.5470144E-48    
4.65             3.6012282E-47    1.5382186E-47    6.2333248E-48    5.4282186E-48    6.8174649E-47    1.6653856E-47    1.0973216E-47    8.9625755E-48    
4.75             3.6837633E-47    1.5728297E-47    6.3686090E-48    5.5448000E-48    7.1536119E-47    1.7502317E-47    1.1496681E-47    9.3879683E-48    
4.85             3.7663116E-47    1.6074461E-47    6.5038861E-48    5.6613714E-48    7.4979025E-47    1.8372108E-47    1.2032323E-47    9.8231924E-48    
4.95             3.8488723E-47    1.6420675E-47    6.6391566E-48    5.7779332E-48    7.8503373E-47    1.9263230E-47    1.2580142E-47    1.0268248E-47    
5.05             3.9314448E-47    1.6766937E-47    6.7744208E-48    5.8944860E-48    8.2109167E-47    2.0175688E-47    1.3140137E-47    1.0723133E-47    
5.15             4.0140284E-47    1.7113245E-47    6.9096791E-48    6.0110302E-48    8.5796414E-47    2.1109484E-47    1.3712309E-47    1.1187850E-47    
5.25             4.0966225E-47    1.7459595E-47    7.0449317E-48    6.1275664E-48    8.9565117E-47    2.2064621E-47    1.4296658E-47    1.1662396E-47    
5.35             4.1792265E-47    1.7805985E-47    7.1801789E-48    6.2440949E-48    9.3415282E-47    2.3041100E-47    1.4893182E-47    1.2146772E-47    
5.45             4.2618399E-47    1.8152414E-47    7.3154210E-48    6.3606162E-48    9.7346912E-47    2.4038924E-47    1.5501882E-47    1.2640979E-47    
5.55             4.3444623E-47    1.8498880E-47    7.4506583E-48    6.4771305E-48    1.0136001E-46    2.5058096E-47    1.6122758E-47    1.3145014E-47    
5.65             4.4270932E-47    1.8845381E-47    7.5858911E-48    6.5936383E-48    1.0545458E-46    2.6098617E-47    1.6755810E-47    1.3658879E-47    
5.75             4.5097321E-47    1.9191914E-47    7.7211194E-48    6.7101399E-48    1.0963063E-46    2.7160489E-47    1.7401037E-47    1.4182573E-47    
5.85             4.5923788E-47    1.9538480E-47    7.8563435E-48    6.8266355E-48    1.1388815E-46    2.8243714E-47    1.8058440E-47    1.4716096E-47    
5.95             4.6750327E-47    1.9885075E-47    7.9915637E-48    6.9431255E-48    1.1822716E-46    2.9348292E-47    1.8728017E-47    1.5259448E-47    
6.05             4.7576936E-47    2.0231699E-47    8.1267800E-48    7.0596100E-48    1.2264765E-46    3.0474227E-47    1.9409770E-47    1.5812628E-47    
6.15             4.8403612E-47    2.0578351E-47    8.2619927E-48    7.1760894E-48    1.2714963E-46    3.1621519E-47    2.0103699E-47    1.6375637E-47    
6.25             4.9230351E-47    2.0925029E-47    8.3972020E-48    7.2925639E-48    1.3173310E-46    3.2790169E-47    2.0809802E-47    1.6948474E-47    
6.35             5.0057150E-47    2.1271732E-47    8.5324079E-48    7.4090337E-48    1.3639806E-46    3.3980179E-47    2.1528080E-47    1.7531139E-47    
6.45             5.0884007E-47    2.1618458E-47    8.6676107E-48    7.5254989E-48    1.4114451E-46    3.5191550E-47    2.2258533E-47    1.8123633E-47    
6.55             5.1710920E-47    2.1965208E-47    8.8028104E-48    7.6419599E-48    1.4597246E-46    3.6424283E-47    2.3001160E-47    1.8725954E-47    
6.65             5.2537886E-47    2.2311980E-47    8.9380072E-48    7.7584167E-48    1.5088190E-46    3.7678379E-47    2.3755963E-47    1.9338103E-47    
6.75             5.3364902E-47    2.2658773E-47    9.0732012E-48    7.8748696E-48    1.5587285E-46    3.8953839E-47    2.4522939E-47    1.9960080E-47    
6.85             5.4191967E-47    2.3005586E-47    9.2083925E-48    7.9913187E-48    1.6094530E-46    4.0250663E-47    2.5302091E-47    2.0591885E-47    
