# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
6.4500            -9.0034596E-03   2.3316842E-02   1.0579880E+00   1.0233233E+00 
6.5500            4.4311579E-02   -4.1840815E-03   1.0464177E+00   1.0506696E+00 
6.6500            -9.3795237E-03   -7.6736044E-03   1.0423148E+00   1.0198609E+00 
6.7500            -9.4573091E-03   4.4689556E-02   1.0389405E+00   1.0561706E+00 
6.8500            5.2321148E-02   -8.4833004E-03   1.0543537E+00   1.0562261E+00 
6.9500            -1.2246860E-02   1.5692494E-02   1.0552953E+00   1.0298211E+00 
7.0500            1.2113752E-02   2.1821434E-02   1.0522722E+00   1.0418180E+00 
7.1500            3.2335861E-02   -9.5429212E-03   1.0358785E+00   1.0576701E+00 
7.2500            -6.9445452E-03   2.8833842E-02   1.0617739E+00   1.0458276E+00 
7.3500            1.4184748E-02   1.9133629E-02   1.0658703E+00   1.0324745E+00 
7.4500            3.4884812E-02   -8.3358278E-03   1.0348911E+00   1.0597375E+00 
7.5500            -1.2621531E-03   1.4332298E-02   1.0513290E+00   1.0514195E+00 
7.6500            -1.2821070E-03   3.9133101E-02   1.0754062E+00   1.0397483E+00 
7.7500            4.7901925E-02   -7.6392454E-03   1.0621741E+00   1.0418142E+00 
7.8500            -2.2905051E-03   -7.5654794E-03   1.0124267E+00   1.0610986E+00 
7.9500            7.2399594E-03   5.1288308E-02   1.0852603E+00   1.0670798E+00 
8.0500            2.1286693E-02   4.0957149E-04   1.0876814E+00   1.0085120E+00 
8.1500            1.8289055E-02   4.2325559E-03   1.0245137E+00   1.0662892E+00 
8.2500            1.4493380E-02   1.9801623E-03   1.0354333E+00   1.0706165E+00 
8.3500            1.0044938E-02   4.4614237E-02   1.0920866E+00   1.0613153E+00 
8.4500            1.6947102E-02   -1.8149780E-03   1.0926519E+00   1.0032213E+00 
8.5500            9.4333536E-03   1.5849557E-02   1.0248977E+00   1.0703690E+00 
8.6500            2.1304097E-02   -4.3061891E-04   1.0286500E+00   1.0788040E+00 
8.7500            3.0411052E-02   3.5698699E-02   1.0952162E+00   1.0751518E+00 
8.8500            -1.9161977E-04   3.9500437E-03   1.0954709E+00   1.0047590E+00 
8.9500            1.1232461E-02   2.1978940E-02   1.0651868E+00   1.0451741E+00 
9.0500            2.6815942E-03   1.3739723E-02   1.0064471E+00   1.0863926E+00 
9.1500            5.7836012E-02   7.8621826E-03   1.0753187E+00   1.0867188E+00 
9.2500            1.9247483E-02   2.1201987E-02   1.0948939E+00   1.0562595E+00 
9.3500            -4.1489330E-03   1.5337185E-04   1.0972118E+00   1.0009124E+00 
9.4500            -2.9915052E-03   4.0266334E-02   1.0605622E+00   1.0599021E+00 
9.5500            6.7821466E-03   2.0393576E-02   1.0174492E+00   1.0880741E+00 
9.6500            7.1932162E-02   -9.8067370E-04   1.0778745E+00   1.0871692E+00 
9.7500            3.9318208E-02   1.1759256E-02   1.0934758E+00   1.0709303E+00 
9.8500            -1.1953408E-02   -4.5642661E-03   1.0900213E+00   1.0096488E+00 
9.9500            -9.8047409E-03   3.4654435E-02   1.0899432E+00   1.0360273E+00 
10.0500           -1.3179260E-02   5.4073843E-02   1.0384759E+00   1.0871667E+00 
10.1500           4.3395342E-02   4.1074401E-03   1.0498776E+00   1.0815922E+00 
10.2500           8.8437104E-02   -4.6538952E-03   1.0957008E+00   1.0881361E+00 
10.3500           2.8544785E-02   -2.0691402E-03   1.0811255E+00   1.0643104E+00 
10.4500           -1.8614411E-02   -6.8599181E-03   1.0833957E+00   1.0161456E+00 
10.5500           -1.8208056E-02   4.3147924E-02   1.0959146E+00   1.0433167E+00 
10.6500           -1.9839798E-02   7.0840550E-02   1.0606938E+00   1.0870231E+00 
10.7500           2.6925261E-02   2.0804130E-02   1.0563701E+00   1.0783607E+00 
10.8500           9.4141739E-02   -1.3047855E-02   1.0948230E+00   1.0793138E+00 
10.9500           7.1695946E-02   -8.1484979E-03   1.0869088E+00   1.0873943E+00 
